run_id,rsi_period,stoch_period_k,stoch_period_d,ema_filter_period,rsi_buy_threshold,stoch_buy_threshold,stop_loss_pct,take_profit_pct,leverage,status,windows,net_return_pct_avg,net_return_pct_min,net_return_pct_max,sharpe_avg,max_drawdown_avg,win_rate_avg,profit_factor_avg,sortino_avg,total_trades_sum,total_trades_avg,rank
876,20,8,5,100,0.2,15.0,0.03,0.05,5,ok,1,4.43,4.43,4.43,0.76,7.02,50.0,1.27,43781.88,8,8.0,31
606,14,12,5,150,0.15,15.0,0.03,0.05,5,ok,1,4.43,4.43,4.43,0.76,7.02,50.0,1.27,43781.88,8,8.0,32
526,14,8,3,200,0.15,15.0,0.03,0.05,5,ok,1,4.43,4.43,4.43,0.76,7.02,50.0,1.27,43781.88,8,8.0,33
566,14,10,5,100,0.15,15.0,0.03,0.05,5,ok,1,4.43,4.43,4.43,0.76,7.02,50.0,1.27,43781.88,8,8.0,34
916,20,10,5,150,0.2,15.0,0.03,0.05,5,ok,1,4.43,4.43,4.43,0.76,7.02,50.0,1.27,43781.88,8,8.0,35
646,14,14,5,200,0.15,15.0,0.03,0.05,5,ok,1,4.43,4.43,4.43,0.76,7.02,50.0,1.27,43781.88,8,8.0,36
956,20,12,5,200,0.2,15.0,0.03,0.05,5,ok,1,4.43,4.43,4.43,0.76,7.02,50.0,1.27,43781.88,8,8.0,37
955,20,12,5,200,0.15,25.0,0.015,0.05,3,ok,1,3.94,3.94,3.94,1.01,3.23,36.4,1.47,33768.4,11,11.0,38
875,20,8,5,100,0.15,25.0,0.015,0.05,3,ok,1,3.94,3.94,3.94,1.01,3.23,36.4,1.47,33768.4,11,11.0,39
915,20,10,5,150,0.15,25.0,0.015,0.05,3,ok,1,3.94,3.94,3.94,1.01,3.23,36.4,1.47,33768.4,11,11.0,40
995,20,16,3,100,0.15,25.0,0.015,0.05,3,ok,1,3.94,3.94,3.94,1.01,3.23,36.4,1.47,33768.4,11,11.0,41
1150,24,14,5,100,0.2,15.0,0.015,0.05,3,ok,1,3.81,3.81,3.81,1.01,2.3,36.4,1.45,26747.15,11,11.0,42
800,16,14,3,200,0.15,15.0,0.015,0.05,3,ok,1,3.81,3.81,3.81,1.01,2.3,36.4,1.45,26747.15,11,11.0,43
760,16,12,3,150,0.15,15.0,0.015,0.05,3,ok,1,3.81,3.81,3.81,1.01,2.3,36.4,1.45,26747.15,11,11.0,44
1110,24,12,3,200,0.2,15.0,0.015,0.05,3,ok,1,3.81,3.81,3.81,1.01,2.3,36.4,1.45,26747.15,11,11.0,45
910,20,10,5,100,0.2,15.0,0.015,0.05,3,ok,1,3.76,3.76,3.76,1.01,2.3,36.4,1.44,24570.45,11,11.0,46
870,20,8,3,200,0.2,15.0,0.015,0.05,3,ok,1,3.75,3.75,3.75,1.01,2.3,36.4,1.44,24569.99,11,11.0,47
871,20,8,3,200,0.2,25.0,0.03,0.05,5,ok,1,3.25,3.25,3.25,0.4,11.74,45.5,1.13,13996.32,11,11.0,48
911,20,10,5,100,0.2,25.0,0.03,0.05,5,ok,1,3.25,3.25,3.25,0.4,11.74,45.5,1.13,13996.32,11,11.0,49
991,20,14,5,200,0.2,25.0,0.03,0.05,5,ok,1,3.25,3.25,3.25,0.4,11.74,45.5,1.13,13996.32,11,11.0,50
951,20,12,5,150,0.2,25.0,0.03,0.05,5,ok,1,3.25,3.25,3.25,0.4,11.74,45.5,1.13,13996.32,11,11.0,51
801,16,14,3,200,0.15,25.0,0.03,0.05,5,ok,1,2.67,2.67,2.67,0.5,4.26,37.5,1.16,1.88,8,8.0,52
721,16,10,3,100,0.15,25.0,0.03,0.05,5,ok,1,2.67,2.67,2.67,0.5,4.26,37.5,1.16,1.88,8,8.0,53
761,16,12,3,150,0.15,25.0,0.03,0.05,5,ok,1,2.67,2.67,2.67,0.5,4.26,37.5,1.16,1.88,8,8.0,54
841,16,16,5,100,0.15,25.0,0.03,0.05,5,ok,1,2.67,2.67,2.67,0.5,4.26,37.5,1.16,1.88,8,8.0,55
990,20,14,5,200,0.2,15.0,0.015,0.05,3,ok,1,2.61,2.61,2.61,0.68,3.32,33.3,1.27,16596.35,12,12.0,56
950,20,12,5,150,0.2,15.0,0.015,0.05,3,ok,1,2.61,2.61,2.61,0.68,3.32,33.3,1.27,16596.35,12,12.0,57
640,14,14,5,150,0.15,15.0,0.015,0.05,3,ok,1,2.61,2.61,2.61,0.68,3.32,33.3,1.27,16596.35,12,12.0,58
600,14,12,5,100,0.15,15.0,0.015,0.05,3,ok,1,2.61,2.61,2.61,0.68,3.32,33.3,1.27,16596.35,12,12.0,59
560,14,10,3,200,0.15,15.0,0.015,0.05,3,ok,1,2.6,2.6,2.6,0.68,3.33,33.3,1.27,16707.59,12,12.0,60
880,20,8,5,150,0.15,15.0,0.015,0.05,3,ok,1,2.37,2.37,2.37,0.89,3.38,37.5,1.39,35630.49,8,8.0,61
1080,24,10,5,100,0.15,15.0,0.015,0.05,3,ok,1,2.29,2.29,2.29,0.89,2.36,37.5,1.38,37768.02,8,8.0,62
